Year,Race,Fulltime,Partitme
1990,American Indian or Native American,19,6
1990,Asian or Pacific Islander,1175,231
1990,Black,2009,594
1990,Hispanic,2770,625
1990,White,1152,589
1990,Total,7125,2045
1991,American Indian or Native American,16,2
1991,Asian or Pacific Islander,1266,228
1991,Black,2021,544
1991,Hispanic,3043,557
1991,White,1171,551
1991,Total,7517,1882
1992,American Indian or Native American,11,4
1992,Asian or Pacific Islander,1218,371
1992,Black,1870,765
1992,Hispanic,2845,866
1992,White,1008,804
1992,Total,6952,2810
1993,American Indian or Native American,10,8
1993,Asian or Pacific Islander,1244,437
1993,Black,1978,796
1993,Hispanic,3078,926
1993,White,1149,865
1993,Total,7459,3032
1994,American Indian or Native American,19,6
1994,Asian or Pacific Islander,1304,473
1994,Black,1985,783
1994,Hispanic,3296,931
1994,White,1222,985
1994,Total,7826,3178
1995,American Indian or Native American,14,6
1995,Asian or Pacific Islander,1210,499
1995,Black,1798,860
1995,Hispanic,3251,993
1995,White,1208,856
1995,Total,7481,3214
1996,American Indian or Native American,3,11
1996,Asian or Pacific Islander,1192,512
1996,Black,1868,809
1996,Hispanic,3504,1069
1996,White,1188,927
1996,Total,7760,3320
1997,American Indian or Native American,14,7
1997,Asian or Pacific Islander,1271,509
1997,Black,1736,799
1997,Hispanic,3294,1171
1997,White,1141,983
1997,Total,7456,3469
1998,American Indian or Native American,12,2
1998,Asian or Pacific Islander,1392,581
1998,Black,1608,850
1998,Hispanic,3141,1246
1998,White,1141,1085
1998,Total,7294,3764
1999,American Indian or Native American,14,5
1999,Asian or Pacific Islander,1505,633
1999,Black,1593,876
1999,Hispanic,3171,1264
1999,White,1196,1025
1999,Total,7479,3803
2000,American Indian or Native American,21,8
2000,Asian or Pacific Islander,1603,780
2000,Black,1483,944
2000,Hispanic,3085,1473
2000,White,1206,1175
2000,Total,7398,4380
2001,American Indian or Native American,14,8
2001,Asian or Pacific Islander,1632,814
2001,Black,1324,922
2001,Hispanic,2826,1605
2001,White,1111,1170
2001,Total,6907,4519
2002,American Indian or Native American,8,7
2002,Asian or Pacific Islander,1618,945
2002,Black,1413,1096
2002,Hispanic,3103,1831
2002,White,1310,1268
2002,Total,7452,5147
2003,American Indian or Native American,8,4
2003,Asian or Pacific Islander,1492,1047
2003,Black,1462,1094
2003,Hispanic,3058,2031
2003,White,1346,1226
2003,Total,7366,5402
2004,American Indian or Native American,12,5
2004,Asian or Pacific Islander,1522,1121
2004,Black,1585,1267
2004,Hispanic,3161,2213
2004,White,1339,1367
2004,Total,7619,5973
2005,American Indian or Native American,17,8
2005,Asian or Pacific Islander,1542,1122
2005,Black,1584,1423
2005,Hispanic,3048,2184
2005,White,1262,1299
2005,Total,7453,6036
2006,American Indian or Native American,15,8
2006,Asian or Pacific Islander,1806,1235
2006,Black,1654,1465
2006,Hispanic,3061,2358
2006,White,1281,1302
2006,Total,7817,6368
2007,American Indian or Native American,12,37
2007,Asian or Pacific Islander,2003,1409
2007,Black,1596,1546
2007,Hispanic,3296,2736
2007,White,1222,1324
2007,Total,8142,7027
2008,American Indian or Native American,23,7
2008,Asian or Pacific Islander,2243,1528
2008,Black,1560,1503
2008,Hispanic,3417,2726
2008,White,1307,1226
2008,Total,8550,6990
2009,American Indian or Native American,39,11
2009,Asian or Pacific Islander,2479,1669
2009,Black,1740,1470
2009,Hispanic,3918,2939
2009,White,1447,1316
2009,Total,9623,7405
2010,American Indian or Native American,45,19
2010,Asian or Pacific Islander,2496,1571
